निर्मला,निरमला
हैभी,हैभी
पुलिसों,पुलिसन
जिताना,जितावल
प्रेमियों,परेमियन
पोशाक,पोसाक​
तालियों,तालियन
जिम्मेदारी,जिम्मेवारी
भूखा,भूखल
विमुख,बिमुख
बिदकना,बिदकल
जीवित,जीवित
जन्म​,जनम
खुशबू,खुस​बू
धर्मपत्नी,धरमपतनी
साक्षात्कार,साक्षात्कार
जुलूस,जुलूस
घोषणा,घोषना
टाँगना,टांगल
बड़का,बरका
बैठकी,बइठकी
अंदर,अन्दर
टहल,टहल
कालांतर,कालान्तर
बसना,बसल
एकरास्ता,एकरसता
थप्पड़,थप्पर​
सामना,सामना
गया,गइल
तपस्या,तपसया
कांग्रेस,कांग्रेस
निकाल,निकारल
गुजारना,गुजारल
विधि,बिधि
आडवाणी,आडवानी
अयोध्या,अजोध्या
शास्त्र,सास्त्र
प्राइवेट,पराइवेट
विकसीत,बिकसित
युगधर्म,जुगधरम
निवास,निवास
महत्व,महोत्व
बनियों,बनियन
सिपाहियों,सिपाहियन
विलायत,बिलायत
किसानों,किसानन
सटा,सटल
विपक्ष,बिपक्ष
फर्क​,फरक
माचिस,माचिस
परेशान,परेसान
फॉर्म,फारम
दक्षिणा,दक्षिना
परम्परा,परमपरा
पोख्ता,पोखता
खोल,खोलल
यदि,जदी
विघटन,बिघटन
इनाम,ईनाम
डिगना,डिगल
शब्दकोश,स​ब्दकोस​
सार्थक,सारथक
बनें,बनलन
मछली,मछरी
पौआ,पउवा
कर्क,करक
रास्ता,रसता
गायें,गायन​
तलब,तलब
निपटे,निबटे
मॉनसून,मानसून
पाना,पावल
एकांत,एकान्त
मिट्टी,माटी
दौलत,दउलत​
जौन​,जवन
पॉलिटेक्नीक,पालिटेकनीक
इन्साफ,इन्साफ
सड़क,सरक
यार,ईयार
लड़की,लइकी
काउन्सिल,काउन्सिल
घुसना,घुसल
कविता,कबिता
असरदार,असरदार
प्रदूषण,परदूसन
इलाज,एलाज
बचना,बचल
हिंदुत्व,हिन्दुत्व
परिस्थिति,परिसथिति
बर्बाद,बरबाद
कर्तब,करतब
दर्ज,दरज
चालीसा,चालीसा
बौखलाना,बउखलाइल
आखिर,आखिर
आरोपियों,आरोपियन
किस्मत,किसमत
वर्ष,बरस
जिंदाबाद,जिन्दाबाद
ब्लैक,ब्लेक
आलोचना,अलोचना
बनाना,बनाइल
शतक,स​तक
सूर्यास्त,सूरयास्त
शक,सक
निर्देश,निरदेस​
अनजान,अनजानल
टयूब,टूब
स्वयं,स्वयं
खिलाना,खियाव​ल
रखने,रखलन
प्रशासनिक,परसासनिक
मनौती,मनउति
गजलों,गजलन
भ्रम,भरम
चुनना,चुनाइल
शऊर,सहुर
दर्शन,दरसन
गर्ज,गरज
तापमान,तपमान
तेंदुलकर,तेन्दुलकर
रिपोर्ट,रेपो्र्ट​
खोदना,खोदल
जेवर,जेवर
वर्दी,बरदी
सड़क,सरक
फूटना,फूटल
मर्यादा,मरयादा
अनशन,अनसन
बताते,बतावत
अनोखा,अनोखा
ध्यान,धेयान
नौगाँव,नव​गाँव
चेला,चेला
आंधी,आन्ही
कृति,करिती
किताबें,किताबन
सर्च​,सर्च​
प्रवासी,प्रवासी
टकराया,टकराइल
प्रभाव,परभाव
राजस्थान,रजस्थान
उखाड़,उखार
सदस्यों,सदस्यन
इस्तेमाल,इस्तेमाल
डूबना,डूबल
लौटना,लवटल
मैच,मैच
हर्ज,हरज
उधार,ओधार
संदेह,सन्देह
रगड़,रगर
स्नान,इसनान
जबर्दस्त,जबरजस्त
उपस्थित,ओपस्थित
दूल्हा,दूलहा
थोडा,थोरा
विधा,बिधा
कत्ल,कतल
रामवृक्ष,रामबिरिछ
भाषा,भासा
बदौलत,बदउलत
प्रस्थान,प्रसथान
चौकड़ी,चउकड़ी
लिखा,लिखल
कतरना,कतरल
शामिल,सामिल
थकाना,थकावल
रहना,रहल
भींजा,भींजल
शोख,सोख
पतझड़,पतझर
असामाजिक,असमाजिक
टेलिविजन,टेलिबिजन
बायना,बाएना
स्थल,ईस्थल
प्रसाद,परसाद
गुंजाइश,गुन​जाइस
झोंका,झोका
यह,इह​
टमाटर,टिमाटर
प्रगतिशील,परगतिसील
चुपचाप,चोपचाप
बादशाह,बादसाह
बढ़वाना,बढ़ावल
नवजागरण,नवजागरन
उरेहना,उरेहल
संदेश,सन्देस
विज्ञापन,बिज्ञापन
दर्शन,दरसन
जैन,जैन
फूलों,फूलन​
न्योछावर,न्योछावर
चरागाह,चरागाह
दोष,दोस
ज्यादा,जादा
जल्दही,जल्दिये
धनौती,धनउती
रवैया,रवइया
आश्रम,आसरम
गर्दन,गरदन
निवारण,निवारन​
इस,एस
स्थापत्यकला,ईस्थापत्यकला
रचाया,रचाइल
भौजाई,भउजाई
ज्ञानी,गयानी
परमात्मा,परमात्मा
रवींद्र,रवीन्दर
कारबार,कारबार
मूलभूत,मूलभूत
अद्भुत,अद्भुत
अपनाना,अपनावल
अंग्रेज,अंगरेज
ध्यान,धियान
प्रतिशोध,परतिसोध
मशहूर,मस​हूर
लड़ाना,लड़ावल
अंधविश्वासी,अंधविश्वासी
मिलना,मिलल
चिंतित,चिन्तित
प्रताड़ित,परताड़ित
मंज़िल,मन्ज़िल
किस्म,किसम
कैसे,कइसे
फ्रेम,फ्रेम
एडमिशन,ऐडमिसन
सचिन,सचिन
कमज्यादा,कमजादा
सिंहासन,सिहासन
यही,एही
विशिष्ट,बिशिष्ट
कटौती,कटव​ती
कुरान,कोरान
गुजरना,गुजरल
समर्थ,समरथ
लक्ष्य,लक्ष
यातायात,यातायात
इस्तेमाल,स्तेमाल
चौकठ,चउकठ
स्वाधीन,सुवाधीन
इन्स्टीच्यूट,इन्स्टीयूट
मरवाना,मरवावल
निर्मला,निरमला
सरपंच,सरपन्च
उन्नति,ओन्नति
आयोजित,आयोजित
चौकन्ना,चउकन्ना
हरीन्द्र,हरीन्दर
माफिक,माफिक
दुल्हा,दूलहा
गया,गयल
ब्राह्मण,बराह्मन
खौफ,खउफ
ऊपर,उपर
भाड़,भार
प्रचण्ड,प्रचन्ड
प्रचलन,परचलन
पूर्णता,पूरणता
रखना,राखल
शीर्षक,सीरषक
खरबूजा,खरबुज्जा
मर्दो,मरदो
सिकुड,सिकुरि
गांधीवादी,गाँधीवादी
हदसना,हदसल
चढ़ना,चढ़ल
औलाद,औलाद
बढवाना,बढ़वावे
आ,आ
अय्यास,अय्यास
मशीन,मसीन
स्वीकार,सकार
प्रयाग,परयाग
तिरस्कार,तिरसकार
पालन,पालन
आंदोलन,आन्दोलन
टिकना,टिकल
विभीषिक,विभीषिक
न्यौछावर,न्योछावर
देश,देस
पन्द्रह,पनरह
ब्याज,बियाज
परदेशी,परदेसी
जख्म,घाव
उन्ही,उनही
प्राचीन,प्राचीन
आर्थिक,आरथिक
मस्तक,मसतक
शिलीमुख,सिलीमुख
बर्दाश्त,बरदास्त
प्रवेश,प्रवेस
छपा,छपल
काँपना,काँपल
बैठाना,बइठावल
मैनेजर,मैनजर
नक्सल,नकसल
मानना,मानल
पीपल,पीपर
चरण,चरन​
शिवचरित,सिवचरित
उन्तालीस,उनतालीस
फाड़,फार
शोर,सोर
पसंद,पसन
गृहस्थी,गिरहस्थी
महोत्सव,महोतसव
इतना,एतना
सक्षम,सक्षम
ऊँटों,ऊँटन
टीवी,टीवी
भक्तों,भक्तन
दोपहिया,दुपहिया
रक्त,रकत
शेक्सपियर,सेक्सपियर
क्रिया,किरिया
सर्वव्यापी,सर्वबेयापी
तानना,तानल
बेखौफ,बेखउफ
नशीला,नसीला
फुलाना,फुलाइल
पैसारी,पइसारी
योग्यता,जोग्यता
महाप्रयाण,महाप्रयाण
अपराधियों,अपराधियन
परोसना,परोसल
मुकाम,मोकाम
ऐसा,अइसन
बैठ,बइठ
भुलभुलैया,भुलभुलइया
धारण,धारन​
फोंफाइल,फोंफाइल
प्रभावित,परभावित
विस्तार,बिसतार
विजेता,बिजेता
व्यक्ति,बेक्ति
इलाज,एलाज
तात्पर्य,तातपर्य
प्रधान,परधान
दिखाई,देखावल
बगुला,बगुला
होश,होस
प्रणाली,प्रनाली
फोटोग्राफी,फोटोगराफी
बाहर,बाहर
परिकल्पना,परिकलपना
ठिठकना,ठिठकल
खुशी,खुसी
विशालता,विसालता
गूँजना,गूँजल
कस्बाई,कस्बाई
औरत,अउरत
कुर्सी,कुरसी
यात्री,यात्री
घहराना,घहराइल
समाना,समाइल
शिकार,सिकार
फौज,फउ
रिश्ता,रिस्ता
उभरा,उभरल
शुरुआत,सुरुआत
कोशिश,कोसिस
पिसाच,पिसाच
ब्यवहार,बेवहार
भुलाना,भोलाइल
कूड़ादान,कूरादान
प्रामाणिक,प्रामाणिक
मार्मिक,मारमिक
हटा,हटल
सदी,सदी
बैगन,बैगन
ठिठुरना,ठिठुरल
निर्दई,निरदई
दुकान,दोकान
चाय,चाए
धनुषधारी,धनुस​धारी
काण्ड,कांड
जुकाम,जोकाम​
सानना,सउनल
गौ,गउ
शरारत,सरारत
क्वॉर्टर,कुवाटर
प्रचलित,परचलित
झांसा,झासा
प्रक्रिया,परकिरिया
विवाह,बियाह
जौनपुर,जव​नपुर
मिठाई,मेठाई
अंत,अन्त
सुधरना,सुधरल
लोकप्रिय,लोकप्रिय
बढ़ाव,बढ़ाव
झौसना,झँउसल
चुड़िहार,चुरिहार
भाई,भाई
कॉलेजिज,कालेजिज
मॉरिशस,मारिस​स
ाभाविक,सवाभाविक
ऋण,रीन
मोर्चे,मोर्चे
प्रकाशम,प्रकास​म
कॉल,काल
प्रशिक्षण,प्रसिक्षन
लक्षण,लक्षन​
फैशन,फइसन
ड्रेस,डरेस
परेशां,परेसान
उत्तीर्ण,ओत्तीर्ण
ऑरेंज,आरेन्ज
दुविधा,दुबिधा
क्रेन,करेन
कहींज्यादा,कहींजादा
दफ्तरी,दफतरी
ज्यॉफ,ज्याफ
बास्केटबॉल,बासकेटबाल
कुंडों,कुन्डन
विनती,बिनती
इलेक्ट्रॉनिक्स,एलेक्ट्रानिक्स
गुणित,गुनित
ज्यूरिस्ट,जूरिस्ट
पसर्नल,प्रसनल
ट्रैक्टरों,टैक्टरन
विजातीय,बिजातीय
शोचनीय,सोचिनीय
ड्राइक्लीन,डराइक्लीन
फोटोशॉप,फोटोसाप
रोज़गार,रोजगार
गणेशपुर,गनेस​पुर
लुभावनी,लोभावनी
निशिकांत,निसिकान्त
अबॉट,अबाट
डिपॉजिटरी,डिपाजिटरी
चौबेपुर,चउबेपुर
गौषाला,गउसाला
उत्तरपूर्वी,ओत्तरपूरवी
अनियंस,अनियन्स
पॉलिटेक्नीक,पालिटेकनीक
अगौटी,अगउटी
तुर्शी,तुरसी
एंथोनी,एन्थोनी
वुल्फ,बुल्फ
व्यक्तियोंं,बेक्तियनन
बुलियन,बोलियन
स्वतंत्रतापूर्वक,स्वतन्त्रतापूरवक
प्रशन,प्रसन
लिंटर,लिन्टर
सिचाई,सिचाई
प्रदर्शिनी,प्रदरसिनी
फुटवेयर,फुटबेयर
मुहल्लेवासियों,मुहल्लेवासियन
अस्पतालें,असपतालन
ऐसे,अइसे
खुलासों,खोलासन
दोषी,दोसी
कॉलेज,कालेज
विस्तार,बिस्तार
समारोह,समारोह
मुमकिन,मोम​किन
उत्तरप्रदेश,ओत्तरपरदेस
भंडार,भन्डार
परफॉर्मिंग,परफॉरमिंग
प्रांतों,प्रान्तन
उर्मिला,उरमिला
ट्रेनिंग,टरेनिंग
वेतन,बेतन
जिक्र,जिकर
किसानों,किसानन
राज्यों,राज्यन
शादीशुदा,सादीसुदा
हॉट,हाट
सुशीला,सुसीला
ऑयल,आयल
बिगबॉस,बिगबास
अंतराल,अन्तारल
परिवेश,परिवेस
नर्सिंग,नर्सिंग
अथॉरिटी,अथारिटी
ऑफर,आफर
ऐतिहासिक,अइतिहासिक
गंभीर,गम​भीर
आदर्शों,आदरसन
खरीदारों,खरीदारन
औरंगाबाद,अउरांगबाद
आक्रोश,आकरोस
घायलों,घालयन
अस्पातल,असपताल
निर्वाचित,निरवाचित
निर्धारित,निरधारित
पाठशाला,पाठसाला
सुर्खियों,सुरखियन
विलासा,बिलासा
हटाना,हटावल
पर्दे,परदे
हॉस्पिटल,हासपीटल
राज्यपालों,राज्यालपन
कैलोरी,कइलोरी
सर्वाधिक,सरवाधिक
वेलेन्टाइन,बेलेन्टाइन
सौभाग्य,सोभाग्य
कमीशन,कमीसन
अधिकारों,अधिकारन
चौधरी,चउधरी
ऑर्डर,आडर
वसूली,बसूली
बॉस,बास
ज्योतिषी,जोतिषी
सहयोगियों,सहयोगियन
सार्थक,सारथक
प्रार्थना,प्रारथना
उच्चारण,ओच्चारन
कार्बेट,कारबेट
कुश्ती,कुस्ती
आपरेशन,आपरेसन
बैठीं,बइठीं
नौटंकी,नउटान्की
शक्ल,सकल
बंदर,बन्दर
शायर,सायर
धारणा,धारना
चौराहे,चउराहे
डॉक्टरी,डाक्टरी
स्टॉलों,स्टालन
पीयूष,पीयूस
मर्दानगी,मरदानगी
मदरसा,मदरसा
पक्षियों,पक्षियन
मिर्जापुर,मिरजापुर
टॉपलेस,टालपेस
शहीदी,सहीदी
सूटकेश,सूटकेस
समूहों,समूहन
बंधकों,बन्धकन
पिस्तौल,पिस्तउल
टेक्निकल,टेकनिकल
विजयवाड़ा,बिजेवाड़ा
किरण,किरन
तगड़ी,तगरी
दौडा,दउडा
फरिश्ता,फरिस्ता
ऑफिसर,आफिसर
जेनरेशन,जरनेसन
गर्दन,गरदन
शॉप,साप
ख्याल,खयाल
नरेंद्र,नरेन्दर
मुथैया,मुथइया
विभाजनकारी,बिभाजनकारी
थालियां,थालियान
प्रैक्टिकल,प्रेक्टिकल
शशिकांत,ससिकान्त
वॉरंट,वारन्ट
टर्मिनेटर,टरमिनेटर
डिस्कशन,डिस्कसन
मुवैया,मुवइया
बेशर्मी,बेसरमी
पॉजिटिव,पाजिटीव
मोर्नी,मोरनी
वीनस,बीसन
तालाशी,तालासी
नामकरण,नामकरन
ड्राइवर्स,डराइवर्स
कैप्सूल,कैपसूल
आग्रहशील,आगरहसील
प्रचारित,परचारित
पर्ची,परची
फुटपाथों,फुटपाथन
उदाहरणों,ओदाहरनन
महाकौशल,महाकौसल
शर्मिन्दगी,सरमिन्दगी
नक्सलवादी,नकसलवादी
स्टॉफ,स्टाफ
बसंती,बसन्ती
पर्धान,परधान
टेलिविजन,टेलिबिजन
शब्दावलियों,सब्दावलियन
ऑस्कर्स,आस्कर्स
विधाता,बिधाता
वनवास,बनवास
प्राणवान,प्रानवान
शेषनाग,सेषनाग
बिलों,बिलन
उत्पीड़नों,उतपीड़नन
चमकती,चमकती
चिन्ता,चिन्ता
सौदेबाज,सउदेबाज
उत्साही,उतसाही
विचारशील,बिचारसील
कृपाशंकर,किरपासन्कर
लडकी,लइकी
परिग्रह,परिगरह
तालियां,तालियान
घावों,घावन
हार्पर,हारपर
ऑवर,आवर
शिवालय,सिवालय
हमशक्ल,हमसकल
चौथमल,चउथमिल
रेलों,रेलन
लूटेरों,लूटरेन
वसूलती,बसूरती
बॉयकॉट,बायकाट
डाइटीशियन,डाइटीसियन
प्रकाशमान,प्रकास​मान
बांगलादेश,बांगलादेस
खराबियां,खराबियान
वाक्यों,बाक्यन
मजाकिया,मजाकिया
आरंभिक,आरम्भिक
चौबीसा,चउबीसा
एग्जामिनेशन,एगजामिनेसन
मिर्धा,मिरधा
मोर्चो,मोरचो
बिज़नेस,बिजनेस
नजरबंदी,नजरबन्दी
लाइंस,लाइन्स
ट्रॉला,टराला
दशहत,दहसत
दौंरी,दउरी
जन्मस्थान,जनमस्थान
झिझाना,झिझावल
एंटीरियर,एंटीरियर
दफ्तरों,दफतरन
संभावनाशील,सन्भावनासील
रेशमिया,रेसमिया
कहलाना,कहलावल
राजशाही,राजसाही
तेंदुआ,तेन्दुआ
पर्वतारोहण,परवोतारहन
एक्सपायरी,एक्सपयारी
कश्ती,कस्ती
पौआर,पउवार
बाशिंदा,बासिन्दा
रिलेशंस,रिलेसन्स
उमाकान्त,उमाकान्त
अनुबंधित,अनुबन्धित
झाड़ी,झाड़ी
अक्की,अक्की
मारके,मारके
कैम्पों,कैम्पन
शगुना,स​गुना
सौरा,सउरा
निलहों,निलहन
फंडे,फन्डे
ट्रायसिकल,टरसायिकल
अधिकारीओं,अधिकारीअन
कंबाइंड,कम्बाइन्ड
पर्पल,पर्पल
श़ख्स,सख्स​
शामपुरा,सामपुरा
वार्मर,वारमर
स्कीन,स्कीन
स्क्रबर,सक्रबर
अवास्तविक,अवास्तविक
प्रतिभाग,प्रतिभाग
चकनाचूर,चकनाचूर
नुस्ली,नुसली
फरामोश,फरामोस
लुकास,लोकास
वारियर,वारियर
शहरभर,सहरभर
शिवचरण,सिवचरन
दूकानदारों,दूकानदारन
चौकीदारी,चउकीदारी
कोंकणी,कोंकनी
सजाती,सजाती
आशारानी,आसारानी
शिवसैनिक,सिवसैनिक
हरिवंश,हरिवन्स
बर्धा,बरधा
गोपीचंद,गोपीचन्द
दोहराती,दोहराती
धर्मेन्द्र,धरमेन्दर
देशवाली,देस​वाली
भण्डारी,भन्डारी
क़हावत,क़हावत
आवष्यक,आवस्यक
कर्जदाता,करजदाता
जीवनस्तर,जीव​नस्तर
शिथिलता,सिथिलता
सोहली,सोहली
करताल,करताल
दिलवाना,दिलावल
पाणिनी,पानिनी
बरसती,बरसती
समाई,समाई
फरियाना,फरियाना
निशू,निसू
हाॅस्टल,हाॅसटल
ख्यालों,खयालन
नवजागरण,नवजागरन
क्रेता,करेता
निरक्षण,निरक्षन​
बेपरवाही,बेपरवाही
इलाक़े,एलाक़े
विमानपत्तन,बिमनापत्तन
अमेरकी,अमेरकी
मिलावाट,मिलावाट
फॉर्मुला,फॉरमुला
रोटियों,रोटियन
पगबंधी,पगबन्धी
दर्शा,दरसा
सत्वगुण,सत्वगुन
रजोगुण,रजोगुन
भूखंडों,भूखन्डन
बालाकुंड,बालाकुन्ड
मंशापूर्ण,मन्सापूरन
फिलॉसफी,फिलसाफी
टालें,टालन
ईटों,ईटन
चौंतीस,चउन्तीस
वॉरंटी,वारन्टी
प्रदूषणकर्ता,प्रदूसनकर्ता
साईबर,साइबर
प्रत्यााशी,प्रात्यासी
सजाली,सजाली
हाजमा,हाजमा
छल्लों,छललन
खराश,खरास
बीसेंट,बिसेन्ट
कैसिनी,कइसिनी
शोकत,सोकत
आसमान,असमान
शिस्य,सिस्य
बंधकर,बन्धकार
सांस्कृति,सान्सकृति
उखाड़कर,उखड़ाकर
थोबड़ा,थोबड़ा
लिब्रेशन,लिबरेसन
सताधारी,सताधारी
भूके,भूके
सुकांत,सुकान्त
नपुंसकता,नपुन्सकता
फुलों,फुलन
फौना,फउना
प्रवीणा,प्रवीना
देखादेखी,देखादेखी
बांको,बान्को
सोनाटा,सोनाटल
शैतानों,सैतानन
शांतिभूषण,सान्तिभूषन​
घुवास,घुवास
करनामों,करनामन
शुआई,सुआई
ताऊजी,ताउजी
जैगुआर,जैगुआर
विदेशो,बिदेसो
सूर्यालोक,सूरयालोक
नोटिफाई,नोटिफाई
आत्मालोचना,आतमालोचना
चौराहाें,चउराहान
वंजारा,बन्जारा
टेलिस्कोप,टेलिस्कोप
चिंदबरम,चिन्दबरम
सुहाती,सोहाती
बुजुर्गो,बुजुरगो
उपसंभाग,उपन्सभाग
मोटरसायकल,मोटरसायकल
कॉलेेज,कालेजे
सुपरसिमेट्री,सुपरसिमेटरी
द्वादशी,द्वादसी
अतिआवश्यक,अतिआवस्यक
सम्माननीय,सम्मानीय
इंडानेशिया,इन्डानेसिया
चेंजिंग,चेन्जिंग
चित्तौड़गढ़,चित्तउड़गढ़
मूलवासी,मूलवासी
कार्निक,कारनिक
इंडयिन,इन्डियन
कंडिडेट,कन्डिडेट
बालकिशन,बालकिसन
चोटिया,चोटिया
घुमक्कड़,घुमक्कड़
फारेस्टर,फारेस्टर
मणीदेवी,मनीदेबी
करीशमाई,करीसमाई
प्रैशर,प्रेसर
बतौली,बतउली
ख़रीदार,खरीदार
तरकीबों,तरकीबन
हेन्डीक्राफ्ट,हेन्डीकराफ्ट
बेखौफ़,बेखउफ
म्यूजीकल,मूजीकल
गुणाकर,गुनाकर
डोटोपार,डोटोपार
कॉमिकल,कामिकल
ईतवारी,इतवारी
बास्को,बा​स्को
ग्रेनो,ग्रेनो
सेरोमनी,सेरोमनी
उलटना,उलटना
अण्डा,अन्डा
तंदरुस्त,तन्दरोस्त
लेंडलाइन,लेन्डलाइन
शेखचिल्ली,सेखिचल्ली
इन्डियन,इन्डियन
माईन्स,माइन्स
निबंधक,निबन्धक
उत्तरांखड,ओत्तराखन्ड
ऑयन,आयन
मेहतपुर,मेहतपुर
बेबकूफ,बेब​कूफ
सार्वजनीकरण,सारवजनीकरन
चूंगी,चूंगी
शाहीनुल,साहीनुल
शाक्तिशाली,साक्तिशाली
रिटायर्मेंट,रिटायर्मेंट
सुखाया,सुखावल
बहादूर,बहादूर
रेवाड़ी,रेवाड़ी
ऑर्गनाइज्ड,आरगनाइज्ड
वैलेन्टाइन,बैलेन्टाइन
कन्वर्टर,कन्वर्टर
वायुदोष,वायुदोस
जनआक्रोश,जनआकरोस
व्‍यापारी,बियापारी
निर्झर,निरझर
कम्बन,कम्बन
कॉम”,काम”
खोखों,खोखों
राजवंशी,राजवन्सी
वाहरिया,बाहरिया
कपबेकिंग,कपबेकिंग
चम्मचहरी,चम्मचहरी
थानादार,थानादार
घुटती,घुटती
मुड़ती,मुड़ती
शुुक्रवार,सुकुरवार
दुल्हनें,दुलहनन
सिक्रेट,सिक्रेट
अत्यावश्यकता,अत्यावस्यकता
कॉकरोच,काकरोच
ज़रूरत,जरूरत
उतारती,उतारती
बस्तीवासियों,ब​स्तीवासियन
विरूपता,बिरूपता
लॉसन,लासन
आधाकारिक,आधाकारिक
अपरहण,अपहरन
अनुदारवादी,अनुदारवादी
रीसाइकिल,रीसाएकिल
सुनिश्वित,सुनिस्वित
रौल,रउल
बदलावा,बदलावल
जिश,जिस
शीतलपेय,सीतलपेय
महिलाआें,महिलेआान
साइसेंस,साइसेन्स
युगलकिशोर,जुगलकिसोर
शक्राजीत,सक्राजीत
बौखलाहाट,बउखलाहटल
होस्टिंग,होस्टिंग
विकस,बिकस
उदारण,ओदारन
ज्योतिष्,जोतिष्
सुरेशलाल,सुरेसालल
विक्रम,बिकरम​
वैसा,वइसन​
अंश,अन्स
पेड़,पेर
औद्योगीकरण,औद्योगीकरन
तमकना,तमकल
पुड़ी,पूरी
चंद्रमा,चनद्रमा
विचार,बिचार
मणि,मणि
प्रतियोगी,प्रतियोगी
मच्छरों,मच्छरन
ढुकना,ढुकल
जैसे,जइसे
झाँकना,झाँकल
प्रताप,परताप
ट्रेन,टरेन
एशिया,एसिया
अंग्रेज़ी,अंगरेजी
श्रेणी,श्रेनी
आदमी,अदमी
नुस्खा,नुसखा
आशीष,आसीस
ठनका,ठनकल
फेकना,फेकल​
ईमानदारी,एमानदारी
जुल्म​,जुलुम
सर्याति,सरयाति
चबूतरा,चबुतरा
समर्थन,समरथन
दलितों,दलितन
योगी,जोगी
क्षण,क्षन
उसके,ओसके
परिणाम,परिनाम
व्याकुल,बयाकुल
शिल्प,सिल्प​
कशीदा,कसीदा
इकतीस,एकतीस
बुलडोज़र,बुलडोजर
पगलाना,पगलाइल
जानवर,जानवर
ओढ़ना,ओढ़ल
सुप्रीम,सुपरीम
बेईमानों,बेईमानन
विदेशी,बिदेसी
हार्दिक,हारदिक
अनुभव,अनोभव
पवित्र,पवित्तर
पढ़ा,पढ़ल
अविकसित,अबिकसित
चौबीस,चउबीस
चर्चार,चरचार
डालें,डललन
पहुचना,चहुंपा
प्राकृतिक,प्रकृतिक
टुकड़ा,टुकरा
सार्वजनिक,सारवजनिक
दियें,दीयन
ज्योति,जोति
शरण,सरन​
पैना,पयना
वासना,वासना
संसथान,सन्सथान
हफ़्ता,हप्ता
सरगर्मी,सरगरमी
नशा,नसा
आलस्य,आलस्य
बक्सा,बकसा
जमीन,जमीन
राजभाषा,राजभाषा
शहर,सहर
निर्मलवो,निरमलवो
चौड़ा,चउरा
टाँगना,टाँगल
त्योहार,तोहार
औजार,औजार
आदर्शवादी,आद​र्स​वादी
मॉडर्न,माडर्न
गणित,गनित
लायक,लाएक
क्लर्क,कलर्क
नर्स,नर्स
सुधर,सुधर
मनुष्य,मनुस्य​
मजदुरी,मजूरी
निषेध,निसेध
देशों,देसन
मटकाना,मटकियावल
मकड़ा,मकरा
सम्बन्धी,सम्बन्धी
व्यवसायी,बेवसायी
संसार,सन्सार
बैल,बइल
पोषण,पोसन
बिंब,बिम्ब
तीर्थ,तीरथ
वर्ग,वर्ग
वेग,बेग
आंकना,आंकल
हसनेवाला,हसनेवाला
तीर्थवासिनी,तीरथवासिनी
पेशा,पेसा
झेलना,झेलल
सुरक्षाबल,सोरक्षाबल
बिजली,बिजली
चिंगारी,चिनगारी
वस्तु,ब​स्तु
खुदगर्ज,खुदगर्ज
मिशाल,मिसाल
छूटा,छूटल
मैल,मइल
पूरानी,पुरान
अधिकारों,अधिकारन
कल्याण,कल्यान
बाँटना,बाँटल
वोट,बोट​
घर,घरवा
किरायेदार,केरायेदार
शालीनता,सालीनता
विचित्र,बिचित्र
वापस,वापस​
आत्मा,आतमा
जर्मन,जरमन
गुलाम,गोलाम
साहित्यकार,सहित्यकार
मूर्धा,मूरधा
ग्रिहस्ती,गिरहस्ती
जर्मनी,जरमनी
महसूस,मेहसूस
जन्म​,जनम
पहुँच,चहुँप
मचाये,मचवले
मौग,मउग
प्रस्तुत,प्रसतुत
मीनार,मीनार
लजवाना,लजवावल
हैरानी,हैरानी
मोटरसाइकिल,मोटरसाय​कल
विष,बिख
जीना,जीना
रूद्रप्रयाग,रूद्रपरयाग
रफ्तार,रफतार
वर्जित,बरजित
जैमाल,जैमाल
मुलायम,मोलाएम
वेतन,वेतन
तीसरा,तीसरका
पच्चास,पचास
सुझाव,सोझाव
शोध,सोध
सिन्दुर​,सेनूर
बैठ​,बइठ
उसमे,ओम्मे
काल्पनिक,कालपनिक
चलाना,चलावल
धारावाहिक,धाराबाहिक
तैयार,तइयार
आदेशो,आदेसो
कर्म,करम
सत्रह,सतरह
चुनावों,चुनावन
भैया,भइया
अनुभव,अनुभव
एक्शन,एक्शन
हैजा,हैजा
छापना,छापल
पोंछ,पोछ
लागत,लागत
वितरण,वितरन​
ट्रेन,टरेन
सोचते,सोचत
खांसी,खोंखी
पिस्तौल,पिसतउल
नेतावों,नेतवन
फूफा,फुफ्फा
गिड़गिड़ाना,गिड़गिड़ाइल
उभारना,उरेहे
दुश्मन,दुस्मन
दशमलव,दस​मलव
गर्भ,गरभ
कन्हैया,कन्हइया
बिचारा,बेचारा
किस्सागोई,किस्सागोई
स्टैण्ड,ईस्टैण्ड
अमृत,अमरित
हल्का,हलुक
सोखना,सोखल
चावल,चाउर
भांजा,भान्जा
मांस,मान्स
मूर्ति,मूरति
खौल,खउल
दोहराना,दोहरावल
रखाया,रखाइल
बीचमे,बीचे
नायकनों,नायकन
पुराण,पुरान​
पुकार,पुकार
खानदान,खनदान
चिंता,चिन्ता
जोगदान,योगदान
दुश्मन,दुसमन
खाना,खाइल
स्टैंड,ईस्टैंड
विस्फोट,बिसफोट
वर्ष,बरस
उमड़ना,उमड़ल
धमकाता,धमकावत
व्यवहार,बेवहार
रुपया,रुपिया
जानबूझ,जानबूझ
प्रदर्शन,परदरस​न
बंदर,बन्दर
चपटा,चापट
गुलामी,गोलामी
देवी,देबी
चलना,चलल
सिर्फ़,सिरिफ
पहला,पहिला
पाहुना,पहुना
नगरों,नगरन
गलतफहमी,गलतफैमी
